State,LowCarbon,HighCarbon
All,29.1,70.9
Alabama,30.0,70.0
Alaska,19.7,80.3
Arizona,31.4,68.6
Arkansas,22.0,78.0
California,48.7,51.3
Colorado,27.4,72.6
Connecticut,29.0,71.0
Delaware,3.7,96.3
Florida,8.5,91.5
Georgia,24.3,75.7
Hawaii,34.0,66.0
Idaho,75.0,25.0
Illinois,33.0,67.0
Indiana,8.0,92.0
Iowa,40.9,59.1
Kansas,36.6,63.4
Kentucky,4.8,95.2
Louisiana,10.9,89.1
Maine,48.5,51.5
Maryland,23.3,76.7
Massachusetts,28.2,71.8
Michigan,28.2,71.8
Minnesota,36.4,63.6
Mississippi,9.8,90.2
Missouri,13.3,86.7
Montana,51.8,48.2
Nebraska,26.9,73.1
Nevada,28.7,71.3
NewHampshire,46.9,53.1
NewJersey,31.0,69.0
New Mexico,21.7,78.3
NewYork,34.2,65.8
NorthCarolina,31.3,68.7
NorthDakota,42.9,57.1
Ohio,10.4,89.6
Oklahoma,27.7,72.3
Oregon,71.2,28.8
Pennsylvania,31.4,68.6
RhodeIsland,6.5,93.5
SouthCarolina,46.2,53.8
SouthDakota,55.5,44.5
Tennessee,39.5,60.5
Texas,22.1,77.9
Utah,17.7,82.3
Vermont,83.7,16.3
Virginia,30.1,69.9
Washington,82.6,17.4
WestVirginia,7.0,93.0
Wisconsin,15.4,84.6
Wyoming,18.9,81.1
