Fuel type,Capacity (MW),State,Renewable?,Year opened
Hydro,53.9,AL,Yes,1963
Gas,1377,AL,No,1954
Coal,1192.5,AL,No,1954
Hydro,225,AL,Yes,1967
Gas,138,AL,No,1949
Coal,1166.7,AL,No,1972
Gas,80.5,TX,No,1980
Gas,1288.4,AL,No,1965
Hydro,72.9,AL,Yes,1966
Hydro,46.9,AL,Yes,1968
Hydro,100,AL,Yes,1929
Hydro,128.1,AL,Yes,1964
Hydro,177,AL,Yes,1968
Hydro,210.6,AL,Yes,1927
Hydro,170,AL,Yes,1949
Hydro,181,AL,Yes,1961
Hydro,91,AL,Yes,1931
Hydro,87.6,AL,Yes,1962
Hydro,50.5,AL,Yes,1928
Gas,1060.8,AL,No,1960
Coal,952,AL,No,1960
Oil,21.2,AL,No,1960
Gas,11.8,MN,No,2001
Hydro,12.1,CA,Yes,1980
Hydro,101.1,AL,Yes,1970
Nuclear,3494,AL,No,1974
Gas,476,AL,No,1972
Hydro,115.2,AL,Yes,1939
Hydro,404,AL,Yes,1936
Coal,720.7,LA,No,1986
Hydro,3,AL,Yes,1926
Gas,1055,KY,No,1999
Hydro,5.2,AL,Yes,1925
Coal,538,AL,No,1969
Coal,109.8,NE,No,1982
Coal,324.3,NE,No,1981
Hydro,4,AK,Yes,1915
Hydro,1.6,AK,Yes,1951
Oil,8.1,AK,Yes,1951
Oil,61.7,AK,No,1969
Hydro,8.5,AK,Yes,1984
Hydro,1,AK,Yes,1957
Oil,3.4,AK,Yes,1957
Oil,6.2,AK,No,1991
Hydro,22.4,AK,Yes,1984
Hydro,33.6,AK,Yes,1984
Hydro,10.1,CA,Yes,1982
Gas,75.9,AK,No,2007
Oil,2,AK,No,2007
Hydro,44.4,AK,Yes,1955
Hydro,78.2,AK,Yes,1973
Coal,27.5,AK,No,1952
Hydro,4.2,AK,Yes,1952
Oil,25.9,AK,No,1969
Coal,257,NM,No,1984
Hydro,4.6,NY,Yes,1982
Oil,16.6,AK,No,1991
Wind,2.6,AK,No,1991
Hydro,1.6,AK,Yes,1954
Oil,13.2,AK,Yes,1954
Oil,15.6,AK,No,1975
Hydro,15.9,AK,Yes,2014
Oil,8.5,AK,No,2000
Gas,312.4,AK,No,1968
Gas,177.8,WA,No,1981
Hydro,1.4,AZ,Yes,1981
Hydro,199.8,CA,Yes,1987
Coal,348.7,KS,No,1983
Oil,6.6,AK,No,1988
Coal,839.9,AZ,No,1962
Oil,26.1,AZ,No,1972
Gas,333.4,AZ,No,1960
Gas,1207.4,AZ,No,1976
Gas,184.5,AZ,No,2002
Gas,327.3,AZ,No,1971
Oil,97.7,AZ,No,1971
Storage,10,AZ,No,2017
Gas,85,AZ,No,2017
Coal,173.3,AZ,No,1967
Gas,385.2,AZ,No,1967
Coal,720,TX,No,1986
Coal,2390.1,SC,No,1995
Coal,1471.8,FL,No,1984
Gas,613.3,AZ,No,1958
Solar,0.2,AZ,No,1958
Hydro,3,AZ,Yes,1939
Hydro,129.5,AZ,Yes,1927
Gas,573.7,AZ,No,1952
Hydro,63.5,AZ,Yes,1926
Hydro,36,AZ,Yes,1973
Hydro,13,AZ,Yes,1930
Oil,71.2,CA,No,1980
Gas,71.2,CA,No,1980
Hydro,254.8,AZ,Yes,1951
Hydro,1312,AZ,Yes,1964
Hydro,1039.4,NV,Yes,1936
Hydro,1.5,UT,Yes,1981
Gas,252.7,AZ,No,1963
Coal,408,AZ,No,1963
Hydro,3.3,CA,Yes,1980
Hydro,1,CA,Yes,1979
Coal,1134,OK,No,1981
Hydro,56,AR,Yes,1932
Gas,552.5,AR,No,1970
Oil,4.8,AR,No,1999
Hydro,9,AR,Yes,1925
Hydro,1,CA,Yes,1981
Hydro,112,AR,Yes,1965
Hydro,68,AR,Yes,1972
Hydro,96,AR,Yes,1964
Oil,7.2,AR,No,1963
Hydro,25.5,AR,Yes,1950
Hydro,80.4,AR,Yes,1950
Hydro,75,AR,Yes,1955
Hydro,340,AR,Yes,1952
Hydro,160.8,AR,Yes,1965
Gas,185,AR,No,1963
Gas,120,AR,No,1966
Gas,136,AR,No,1972
Nuclear,1138.3,IL,No,1987
